CID	AcctType	Revenue	Date
INZ56565	IRA	55555	23-Dec-17
INZ56567	CD	55555	5-Dec-17
INZ56569	Checking	11490	22-Dec-17
INZ56571	CD	11490	8-Dec-17
INZ56573	Savings	12599	14-Dec-17
INZ56575	Savings	12980	7-Dec-17
INZ56577	Savings	12599	17-Dec-17
INZ56579	Savings	12980	10-Dec-17
INZ56581	CD	12980	17-Dec-17
INZ56583	CD	12980	17-Dec-17
INZ56585	Savings	12599	6-Dec-17
INZ56587	Savings	12980	6-Dec-17
INZ56589	Checking	12980	25-Dec-17
INZ56591	Savings	11490	3-Dec-17
INZ56593	Checking	12599	2-Dec-17
INZ56595	Checking	11490	18-Dec-17
INZ56597	Checking	12599	21-Dec-17
INZ56599	Savings	12599	12-Dec-17
INZ56601	Checking	11490	28-Dec-17
INZ56603	CD	12599	24-Dec-17
INZ56605	CD	11490	10-Dec-17
INZ56607	Checking	11490	16-Dec-17
INZ56609	Savings	11490	1-Dec-17
INZ56611	CD	12599	24-Dec-17
INZ56613	Checking	12599	10-Dec-17
INZ56615	Checking	12599	28-Dec-17
INZ56617	Checking	11490	5-Dec-17
INZ56619	Checking	11490	29-Dec-17
INZ56621	Checking	11490	30-Dec-17
INZ56623	CD	12599	25-Dec-17
INZ56625	Checking	12599	11-Dec-17
INZ56627	Checking	11490	20-Dec-17
INZ56629	CD	11490	18-Dec-17
INZ56631	Checking	11490	23-Dec-17
INZ56633	Savings	11490	10-Dec-17
INZ56635	Savings	11490	22-Dec-17
INZ56637	Checking	11490	28-Dec-17
INZ56639	Checking	11490	14-Dec-17
INZ56641	Savings	12599	29-Dec-17
INZ56643	Savings	11490	18-Dec-17
INZ56645	Checking	12980	31-Dec-17
INZ56647	Checking	12599	29-Dec-17
INZ56649	Checking	11490	29-Dec-17
INZ56651	Savings	12599	28-Dec-17
INZ56653	Checking	11490	17-Dec-17
INZ56655	CD	12599	15-Dec-17
INZ56657	Checking	12599	29-Dec-17
INZ56659	CD	12599	13-Dec-17
INZ56661	Checking	12980	13-Dec-17
INZ56663	CD	12980	9-Dec-17
INZ56665	Savings	11490	3-Dec-17
INZ56667	Savings	11490	1-Dec-17
INZ56669	Savings	12599	3-Dec-17
INZ56671	Savings	11490	9-Dec-17
INZ56565	IRA	11490	23-Dec-17
INZ56567	CD	11490	5-Dec-17
INZ56569	Checking	11490	22-Dec-17
INZ56571	CD	11490	8-Dec-17
INZ56573	Savings	12599	14-Dec-17
INZ56575	Savings	12980	7-Dec-17
INZ56577	Savings	12599	17-Dec-17
INZ56579	Savings	12980	10-Dec-17
INZ56581	CD	12980	17-Dec-17
INZ56583	CD	12980	17-Dec-17
INZ56585	Savings	12599	6-Dec-17
INZ56587	Savings	12980	6-Dec-17
INZ56589	Checking	12980	25-Dec-17
INZ56591	Savings	11490	3-Dec-17
INZ56593	Checking	12599	2-Dec-17
INZ56595	Checking	11490	18-Dec-17
INZ56597	Checking	12599	21-Dec-17
INZ56599	Savings	12599	12-Dec-17
INZ56601	Checking	11490	28-Dec-17
INZ56603	CD	12599	24-Dec-17
INZ56605	CD	11490	10-Dec-17
INZ56607	Checking	11490	16-Dec-17
INZ56609	Savings	11490	1-Dec-17
INZ56611	CD	12599	24-Dec-17
INZ56613	Checking	12599	10-Dec-17
INZ56615	Checking	12599	28-Dec-17
INZ56617	Checking	11490	5-Dec-17
INZ56619	Checking	11490	29-Dec-17
INZ56621	Checking	11490	30-Dec-17
INZ56623	CD	12599	25-Dec-17
INZ56625	Checking	12599	11-Dec-17
INZ56627	Checking	11490	20-Dec-17
INZ56629	CD	11490	18-Dec-17
INZ56631	Checking	11490	23-Dec-17
INZ56633	Savings	11490	10-Dec-17
INZ56635	Savings	11490	22-Dec-17
INZ56637	Checking	11490	28-Dec-17
INZ56639	Checking	11490	14-Dec-17
INZ56641	Savings	12599	29-Dec-17
INZ56643	Savings	11490	18-Dec-17
INZ56645	Checking	12980	31-Dec-17
INZ56647	Checking	12599	29-Dec-17
INZ56649	Checking	11490	29-Dec-17
INZ56651	Savings	12599	28-Dec-17
INZ56653	Checking	11490	17-Dec-17
INZ56655	CD	12599	15-Dec-17
INZ56657	Checking	12599	29-Dec-17
INZ56659	CD	12599	13-Dec-17
INZ56661	Checking	12980	13-Dec-17
INZ56663	CD	12980	9-Dec-17
INZ56665	Savings	11490	3-Dec-17
INZ56667	Savings	11490	1-Dec-17
INZ56669	Savings	12599	3-Dec-17
INZ56671	Savings	11490	9-Dec-17
INZ56565	IRA	11490	23-Dec-17
INZ56567	CD	11490	5-Dec-17
INZ56569	Checking	11490	22-Dec-17
INZ56571	CD	11490	8-Dec-17
INZ56573	Savings	12599	14-Dec-17
INZ56575	Savings	12980	7-Dec-17
INZ56577	Savings	12599	17-Dec-17
INZ56579	Savings	12980	10-Dec-17
INZ56581	CD	12980	17-Dec-17
INZ56583	CD	12980	17-Dec-17
INZ56585	Savings	12599	6-Dec-17
INZ56587	Savings	12980	6-Dec-17
INZ56589	Checking	12980	25-Dec-17
INZ56591	Savings	11490	3-Dec-17
INZ56593	Checking	12599	2-Dec-17
INZ56595	Checking	11490	18-Dec-17
INZ56597	Checking	12599	21-Dec-17
INZ56599	Savings	12599	12-Dec-17
INZ56601	Checking	11490	28-Dec-17
INZ56603	CD	12599	24-Dec-17
INZ56605	CD	11490	10-Dec-17
INZ56607	Checking	11490	16-Dec-17
INZ56609	Savings	11490	1-Dec-17
INZ56611	CD	12599	24-Dec-17
INZ56613	Checking	12599	10-Dec-17
INZ56615	Checking	12599	28-Dec-17
INZ56617	Checking	11490	5-Dec-17
INZ56619	Checking	11490	29-Dec-17
INZ56621	Checking	11490	30-Dec-17
INZ56623	CD	12599	25-Dec-17
INZ56625	Checking	12599	11-Dec-17
INZ56627	Checking	11490	20-Dec-17
INZ56629	CD	11490	18-Dec-17
INZ56631	Checking	11490	23-Dec-17
INZ56633	Savings	11490	10-Dec-17
INZ56635	Savings	11490	22-Dec-17
INZ56637	Checking	11490	28-Dec-17
INZ56639	Checking	11490	14-Dec-17
INZ56641	Savings	12599	29-Dec-17
INZ56643	Savings	11490	18-Dec-17
INZ56645	Checking	12980	31-Dec-17
INZ56647	Checking	12599	29-Dec-17
INZ56649	Checking	11490	29-Dec-17
INZ56651	Savings	12599	28-Dec-17
INZ56653	Checking	11490	17-Dec-17
INZ56655	CD	12599	15-Dec-17
INZ56657	Checking	12599	29-Dec-17
INZ56659	CD	12599	13-Dec-17
INZ56661	Checking	12980	13-Dec-17
INZ56663	CD	12980	9-Dec-17
INZ56665	Savings	11490	3-Dec-17
INZ56667	Savings	11490	1-Dec-17
INZ56669	Savings	12599	3-Dec-17
INZ56671	Savings	11490	9-Dec-17
INZ56565	IRA	11490	23-Dec-17
INZ56567	CD	11490	5-Dec-17
INZ56569	Checking	11490	22-Dec-17
INZ56571	CD	11490	8-Dec-17
INZ56573	Savings	12599	14-Dec-17
INZ56575	Savings	12980	7-Dec-17
INZ56577	Savings	12599	17-Dec-17
INZ56579	Savings	12980	10-Dec-17
INZ56581	CD	12980	17-Dec-17
INZ56583	CD	12980	17-Dec-17
INZ56585	Savings	12599	6-Dec-17
INZ56587	Savings	12980	6-Dec-17
INZ56589	Checking	12980	25-Dec-17
INZ56591	Savings	11490	3-Dec-17
INZ56593	Checking	12599	2-Dec-17
INZ56595	Checking	11490	18-Dec-17
INZ56597	Checking	12599	21-Dec-17
INZ56599	Savings	12599	12-Dec-17
INZ56601	Checking	11490	28-Dec-17
INZ56603	CD	12599	24-Dec-17
INZ56605	CD	11490	10-Dec-17
INZ56607	Checking	11490	16-Dec-17
INZ56609	Savings	11490	1-Dec-17
INZ56611	CD	12599	24-Dec-17
INZ56613	Checking	12599	10-Dec-17
INZ56615	Checking	12599	28-Dec-17
INZ56617	Checking	11490	5-Dec-17
INZ56619	Checking	11490	29-Dec-17
INZ56621	Checking	11490	30-Dec-17
INZ56623	CD	12599	25-Dec-17
INZ56625	Checking	12599	11-Dec-17
INZ56627	Checking	11490	20-Dec-17
INZ56629	CD	11490	18-Dec-17
